Kommun-KOD,Utegym-ID,Namn,Namn på plats,Koordinat_Lat_(WGS84),Koordinat_Long_(WGS84),Koordinat_Lat_(Sweref-99-TM),Koordinat_Long_(Sweref-99-TM),Koordinat_Lat_(Sweref-lokal),Koordinat_Long_(Sweref-lokal),Parkeringsplatser,Namn på ägare,Telefonnummer,E-post,Bild,Bild 2,Bild 3,Vägbeskrivning,Övrig beskrivning,Länk för mer information,Belysning,Rullstolsanpassat,Postnummer,Datum skapad,Datum modifierad,Sit ups,Armhäv,Rygglyft,Parallella stångar,Armgång,Balansbom,Marklyft,Trappsteg,Horisontell stång,Ribbstolar,Viktade rep,Benlyft,Slackline,Air walker,Rodd,Träningscykel,Skylt med övningsinstruktioner,Romerska ringar,Elliptisk träningsmaskin,Bänkpress,Knäböj,Axelpress,Häckar,Långbarr,Styrkeyta
180,0180_Utegym_00009,Farstastrandsbadets utegym,Farstastrandsbadet,59.237470,18.085333,,,,,Nej,"Farsta stadsdelsförvaltning, Stockholms stad",+46 850 818 000,farsta@​stockholm.se,https://motionera.stockholm/optimized/serviceunitspage/filer/hitta/d754bd51-a7b0-49b8-8a9d-eee6794534ba.jpeg,,,,,https://motionera.stockholm/optimized/serviceunitspage/filer/hitta/d754bd51-a7b0-49b8-8a9d-eee6794534ba.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,0180_Utegym_00010,Flatenbadet utegym,Flatenbadet,59.253683,18.161676,,,,,Ja,"Idrottsförvaltningen, Stockholms stad",+46 850 827 700,friluft.idrott@​stockholm.se,,,,,,https://motionera.stockholm/hitta-utegym/utegym/flatenbadet-utegym/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,0180_Utegym_00011,Fruängens utegym,Vid Fruängens bollplan,59.283127,17.962843,,,,,Ja,"Hägersten-Liljeholmens stadsdelsförvaltning, Stockholms stad",+46 850 822 700,hagersten-liljeholmen@stockholm.se,https://motionera.stockholm/optimized/serviceunitspage/filer/hitta/ca16db47-a775-49ec-a529-52d9b2379e1b.jpeg,,,,,https://motionera.stockholm/hitta-utegym/utegym/fruangens-utegym/,Nej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,0180_Utegym_00012,Grimsta utegym,Grimsta gärde,59.357766,17.865457,,,,,Nej,"Hässelby-Vällingby stadsdelsförvaltning, Stockholms stad",+46 850 804 000,hasselby-vallingby@stockholm.se,https://motionera.stockholm/optimized/serviceunitspage/filer/hitta/e392ea90-db5c-4c60-b91c-89d53665063e.jpeg,,,"Utegymmet är placerat nära krematoriet i Grimsta. Intill finns en bollplan med grusmark, i närheten ligger Grimsta motionsspår och Kanaans strandbad ligger en promenadväg bort på andra sidan Grimsta naturreservat.",,https://motionera.stockholm/hitta-utegym/utegym/grimsta-utegym/,Nej,,,,,Ja,,,,Ja,,Ja,,,,,,,,Ja,,,,,Ja,Ja,Ja,,,
180,0180_Utegym_00013,Grimstafältet - Grimsta motionsspår,Grimstafältet,59.361643,17.846410,,,,,Nej,"Hässelby-Vällingby stadsdelsförvaltning, Stockholms stad",+46 850 804 000,hasselby-vallingby@stockholm.se,https://motionera.stockholm/optimized/serviceunitspage/filer/hitta/a99ea55c-0027-46ff-8b1e-db08655623ed.jpeg,,,Vid startpunkten av Grimsta motionsspår vid Grimstafältet,,https://motionera.stockholm/hitta-utegym/utegym/grimstafaltet-grimsta-mostionsspar/#hitta-till-oss,Nej,,,,,Ja,,,,,,Ja,,,,,,,,,,,,,,,,,,
180,0180_Utegym_00014,Gärdets utegym,Gärdet,59.342101,18.108704,,,,,Ja,"Idrottsförvaltningen, Stockholms stad",+46 850 827 700,friluft.idrott@​stockholm.se,https://motionera.stockholm/optimized/serviceunitspage/filer/hitta/61d5afc7-a2e1-46fa-821a-9a0177290b3f.jpeg,,,Precis utanför Kampementsbadet,,https://motionera.stockholm/hitta-utegym/utegym/gardets-utegym/,Ja,,,,,Ja,,,,Ja,,Ja,,,,,,,,Ja,,,,,Ja,Ja,Ja,,,
180,0180_Utegym_00015,Hammarby Sjöstads utegym,Hammarby Sjöstad,59.301567,18.111090,,,,,Ja,"Idrottsförvaltningen, Stockholms stad",+46 850 827 700,friluft.idrott@​stockholm.se,,,,,,https://motionera.stockholm/hitta-utegym/utegym/hammarby-sjostads-utegym/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,0180_Utegym_00016,Hellasgårdens utegym,Hellasgården,59.289772,18.158952,,,,,Ja,"Idrottsförvaltningen, Stockholms stad",+46 850 827 700,friluft.idrott@​stockholm.se,https://motionera.stockholm/optimized/serviceunitspage/filer/hitta/4a5d7a82-30e5-42e5-bf27-db09e5b0b70a.jpeg,,,"Utegymmet ligger precis vid ett av motionsspåren och endast några friska steg från Hellasgården med dess minigolfbana, restaurang, bad & bastu",,https://motionera.stockholm/hitta-utegym/utegym/hellasgardens-utegym/,Ja,,,,,Ja,,,,Ja,,Ja,,,,,,,,Ja,,,,,Ja,Ja,Ja,,,
180,0180_Utegym_00017,Hinderstorpsparkens utegym,Hinderstorpsparken,59.388563,17.935286,,,,,Nej,"Idrottsförvaltningen, Stockholms stad",+46 850 827 700,friluft.idrott@​stockholm.se,https://motionera.stockholm/optimized/serviceunitspage/filer/hitta/c9907bc3-4ffc-4983-9a43-00bbee020cb0.jpeg,,,Nära Rinkebys nordöstra entré mot Järvafältet,,https://motionera.stockholm/hitta-utegym/utegym/hinderstorpsparkens-utegym/,Ja,,,,,Ja,,Ja,,Ja,,,,,,,Ja,,,Ja,,,,,Ja,Ja,Ja,,,
180,0180_Utegym_00018,Hjorthagens utegym,Hjorthagen,59.357636,18.098828,,,,,Nej,Östermalms stadsdelsförvaltning; Stockholms stad,+46 850 810 000,ostermalm@​stockholm.se,https://motionera.stockholm/optimized/serviceunitspage/filer/hitta/f9cef578-b0cd-413d-8e1e-2c4f94a4b333.jpeg,,,Nedanför Dianavägen 30,,https://motionera.stockholm/hitta-utegym/utegym/hjorthagens-utegym/,Ja,,,,,Ja,,,,Ja,,,,,,,,,,,,,,,Ja,Ja,Ja,,,
180,0180_Utegym_00019,Hornsbergs strands utegym,Hornsbergs strand,59.340650,18.010499,,,,,Nej,"Kungsholmens stadsdelsförvaltning, Stockholms stad",+46 850 808 000,kungsholmen@stockholm.se,https://motionera.stockholm/optimized/serviceunitspage/filer/hitta/7dbb5927-03d8-47e2-bb11-80d3f6262a65.jpeg,,,Närmaste tunnelbanestation är Stadshagen. Alternativt ta buss 61 och stig av hållplats Moa Martinssons torg,,https://motionera.stockholm/hitta-utegym/utegym/hornsbergs-strands-utegym/,Ja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,0180_Utegym_00020,Hökarängsbadets utegym,Hökarängsbadet,59.246837,18.109381,,,,,Ja,"Farsta stadsdelsförvaltning, Stockholms stad",+46 850 818 000,farsta@​stockholm.se,,,,,,https://motionera.stockholm/hitta-utegym/utegym/hokarangsbadets-utegym/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,0180_Utegym_00021,Kaknäs utegym,Kaknäs motionsspår,59.336134,18.136206,,,,,Nej,"Idrottsförvaltningen, Stockholms stad",+46 850 827 700,friluft.idrott@​stockholm.se,https://motionera.stockholm/optimized/serviceunitspage/filer/hitta/90c353cc-e4e1-4c2b-8968-9b7986d1b90a.jpeg,,,Utegymmet ligger i anslutning till motionsspåret i Kaknäs vid Sjöfartsverkets fritidsanläggning,,https://motionera.stockholm/hitta-utegym/utegym/kaknas-utegym/,Ja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,0180_Utegym_00022,Kanaanbadets utegym,Kanaanbadet,59.348849,17.859301,,,,,Nej,"Hässelby-Vällingby stadsdelsförvaltning, Stockholms stad",+46 850 804 000,hasselby-vallingby@stockholm.se,https://motionera.stockholm/optimized/serviceunitspage/filer/hitta/b04b2a30-e86e-4d76-b7fe-144e07c256c8.jpeg,,,Vid kanotklubbens lokaler vid första entrén till Kanaanbadet,,https://motionera.stockholm/hitta-utegym/utegym/kanaanbadets-utegym/,,,,,,Ja,,,,,,,,,,,,,,,,,,,,,,,,
180,0180_Utegym_00023,Kronobergsparkens utegym,Kronobergsparken,59.332426,18.036282,,,,,Nej,"Kungsholmens stadsdelsförvaltning, Stockholms stad",+46 850 808 000,kungsholmen@stockholm.se,https://motionera.stockholm/optimized/serviceunitspage/filer/hitta/0ef7e8ed-0d47-4850-9afb-92bd0b956b12.jpeg,,,"Gymmet ligger uppe i parken, nära en hundrastgård och en basketplan.Närmaste tunnelbanestation är Fridhemsplan eller Rådhuset",,https://motionera.stockholm/hitta-utegym/utegym/kronobergsparkens-utegym/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,0180_Utegym_00024,Kungsholms strandstigs utegym,Kungsholms strandstig,59.333843,18.047520,,,,,Nej,"Kungsholmens stadsdelsförvaltning, Stockholms stad",+46 850 808 000,kungsholmen@stockholm.se,https://motionera.stockholm/optimized/serviceunitspage/filer/hitta/241eb65d-15ad-4e5b-92e7-f757e736d830.jpeg,,,"Pipersgatan 45. Buss 1 går till Kungsbroplan. Gymmet ligger vid stranden, bakom Tekniska nämndhuset",,https://motionera.stockholm/hitta-utegym/utegym/kungsholms-strandstigs-utegym/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,0180_Utegym_00025,Kämpetorpsskolans utegym,Kämpetorpsskolan,59.283720,17.996853,,,,,Ja,"Kämpetorpshallarn, Stockholms stad",+46 850 890 208,pekka.haapanen@stockholm.se,https://motionera.stockholm/optimized/serviceunitspage/filer/hitta/4f92adac-4209-4cf6-b1bf-0e1b0b6e08a6.jpeg,,,Lerkrogsvägen 28. Invid Kämpetorpsskolan och Kämpetorpshallarna,,https://motionera.stockholm/hitta-utegym/utegym/kampetorpsskolans-utegym/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,0180_Utegym_00026,Kärrtorps utegym,Kärrtorp,59.285587,18.125069,,,,,Ja,"Idrottsförvaltningen, Stockholms stad",+46 850 827 700,friluft.idrott@​stockholm.se,https://motionera.stockholm/optimized/serviceunitspage/filer/hitta/b6965fac-23ce-44c5-a9b6-831b691c08a5.jpeg,,,Mellan isrinken och motionsspåret,,https://motionera.stockholm/hitta-utegym/utegym/karrtorps-utegym/,,,,,,Ja,,,,Ja,,Ja,,,,,,,,Ja,,,,,Ja,Ja,Ja,,,
180,0180_Utegym_00027,Lappkärrsbergets utegym,"Docentbacken, Lappkärrsberget",59.371623,18.058726,,,,,Nej,Östermalms stadsdelsförvaltning; Stockholms stad,+46 850 810 000,ostermalm@​stockholm.se,https://motionera.stockholm/optimized/serviceunitspage/filer/hitta/30b6ce02-45be-4ce9-a90b-1a07877e39d1.jpeg,,,Buss 50 går till Professorsslingan på Lappkärrsberget,,https://motionera.stockholm/hitta-utegym/utegym/lappkarrsbergets-utegym/,,,,,,,,,Ja,,Ja,,Ja,,Ja,,,,,,,,,,,,,,,
180,0180_Utegym_00028,Liljeholmens utegym,Trekantsparken,59.310647,18.020778,,,,,Ja,"Hägersten-Liljeholmens stadsdelsförvaltning, Stockholms stad",+46 850 822 700,hagersten-liljeholmen@stockholm.se,https://motionera.stockholm/optimized/serviceunitspage/filer/hitta/6284056e-82c2-4d83-b673-7f0d9a4e26c8.jpeg,,,"i Trekantsparken, nära Liljeholmstorget och sjön Trekanten. Utegymmet ligger nära Liljeholmens tunnelbana och Liljeholmstorgets galleria med butiker och restauranger",,https://motionera.stockholm/hitta-utegym/utegym/liljeholmens-utegym/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,0180_Utegym_00029,Lillsjöns utegym,Lillsjön,59.342025,17.953515,,,,,Nej,"Stadsmiljö och parkfrågor i Bromma, Stockholms stad",+46 850 806 000,stadsmiljo.bromma@​stockholm.se,,,,"Vid Lillsjön, Kvarnbacksvägen. Tar cirka 15 min att gå till utegymmet från Abrahamsbergs tunnelbanestation",,https://motionera.stockholm/hitta-utegym/utegym/lillsjons-utegym/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,0180_Utegym_00030,Mellanbergsparkens utegym,Mellanbergsparken,59.291356,17.981224,,,,,Nej,"Hägersten-Liljeholmens stadsdelsförvaltning, Stockholms stad",+46 850 822 700,hagersten-liljeholmen@stockholm.se,,,,"Personnevägen 103, Hägersten. I närheten ligger Hägerstensbadets utomhusbassäng och Västertorps sim- och idrottshall",,https://motionera.stockholm/hitta-utegym/utegym/mellanbergsparkens-utegym/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,0180_Utegym_00031,Mossens utegym,Stora Mossens idrottsplats,59.328957,17.963759,,,,,Ja,"Idrottsförvaltningen, Stockholms stad",+46 850 827 700,friluft.idrott@​stockholm.se,https://motionera.stockholm/optimized/serviceunitspage/filer/hitta/17fa4fdb-23ec-4229-bd1c-a5cfb2ba5ea3.jpeg,,,Utegymmet ligger i anknytning till Stora Mossens idrottsplats. T-bana till Stora Mossen. Promenad 700 meter,,https://motionera.stockholm/hitta-utegym/utegym/mossens-utegym/,,,,,,Ja,,,Ja,Ja,Ja,Ja,,,,,,,,Ja,,,,,Ja,Ja,Ja,,,
180,0180_Utegym_00032,Mälarhöjdsbadets utegym,Mälarhöjdsbadet,59.300068,17.925742,,,,,Nej,"Skärholmens stadsdelsförvaltning, Stockholms stad",+46 850 824 000,skarholmen@stockholm.se,,,,,,https://motionera.stockholm/hitta-utegym/utegym/malarhojdsbadets-utegym/,,,,,,Ja,,,Ja,Ja,Ja,Ja,,,,,,,,Ja,,,,,Ja,Ja,Ja,,,
